Color,$\lambda$,$\theta_l(\degree)$,$\theta_l(')$,$\theta_r(\degree)$,$\theta_r(')$,$\theta'_l(\degree)$,$\theta'_l(')$,$\theta'_r(\degree)$,$\theta'_r(')$
Purple,447.15,,,,,,,,
Blue,471.31,,,,,,,,
BlueGreen,492.19,,,,,,,,
Green,501.57,,,,,,,,
Yellow,587.56,,,,,,,,
Red,667.82,,,,,,,,
